Device,Element,Linac Z (m)*,Control System Name*,PS String,PS Config,Imin Val,Imin Uom,Imax Val,Imax Uom,Bmin Val,Bmin Uom,Bmax Val,Bmax Uom
BEND,BCXDLU3,665.8183,BEND:DOG:107,BCXDLU2,String,0,A,250,A,0.0141,kG-m,4.5017,kG-m
BEND,BCXDLD2,746.268275,BEND:DOG:242,BCXDLD2,String Main,0,A,250,A,0.0134,kG-m,4.5227,kG-m
BEND,BCXDLD1,745.718275,BEND:DOG:241,BCXDLD2,String,0,A,250,A,0.0132,kG-m,4.5155,kG-m
BEND,BCX362,3363.707649,BEND:LTUH:506,BCX362,String Main,0,A,250,A,0.0127,kG-m,4.5398,kG-m
BEND,BCX322,3293.237543,BEND:LTUH:301,BCX322,String Main,0,A,250,A,0.0132,kG-m,4.5095,kG-m
BEND,BXSP2S,2993.522744,BEND:SPS:800,BXSP2S,String Main,0,A,200,A,0.0876,GeV/c,18.9706,GeV/c
BEND,BXSP1S,2935.776744,BEND:SPS:610,BXSP2S,String,0,A,200,A,0.0885,GeV/c,18.9803,GeV/c
BEND,BYD2,3737.648566,BEND:DMPH:410,BYD1,String,0,A,300,A,0.1079,GeV/c,22.5793,GeV/c
BEND,BY1B,3370.429519,BEND:LTUS:525,BY1B,String Main,0,A,10,A,0.1154,GeV/c,19.6686,GeV/c
BEND,BYCUS2,3128.649026,BEND:CLTS:535,BYCUS1,String,0,A,6,A,0.1818,GeV/c,11.9067,GeV/c
QUAD,QX01,649.3967,QUAD:EXT:351,,Individual,-120,A,120,A,-67.5491,kG,67.3312,kG
QUAD,QUM3B,3551.307904,QUAD:LTUS:860,,Individual,-120,A,120,A,-68.0752,kG,67.8484,kG
QUAD,QSP11H,3036.377964,QUAD:SPH:940,QSP3H,String,0,A,165,A,0.8907,kG,149.4982,kG
QUAD,QC106,150.447052,QUAD:COL1:480,,Individual,-12,A,12,A,-20.3277,kG,20.1408,kG
QUAD,QDG004,40.042515,QUAD:DIAG0:270,,Individual,-12,A,12,A,-20.3833,kG,20.2016,kG
QUAD,QDG008,44.691515,QUAD:DIAG0:370,,Individual,-12,A,12,A,-20.309,kG,20.1194,kG
QUAD,QDG009,45.391515,QUAD:DIAG0:390,,Individual,-12,A,12,A,-20.4345,kG,20.2568,kG
QUAD,QE36B,3521.340054,QUAD:LTUS:780,,Individual,0,A,12,A,-20.2348,kG,-0.2641,kG
QUAD,QDG003,37.891802,QUAD:DIAG0:230,,Individual,0,A,30,A,0.0827,kG,10.0927,kG
QUAD,CQ21B,335.879714,QUAD:BC2B:250,,Individual,-12,A,12,A,-2.3919,kG,2.3669,kG
QUAD,Q50Q1,3050.144276,QUAD:CLTH:140,,Individual,0,A,150,A,-47.3122,kG,-0.2648,kG
QUAD,QDL16,3304.355026,QUAD:LTUS:345,QDL12,String,0,A,165,A,-52.0232,kG,-0.2404,kG
QUAD,QDL17,3317.102813,QUAD:LTUS:370,QDL13,String,0,A,165,A,0.2525,kG,51.7381,kG
QUAD,QDL19,3342.598386,QUAD:LTUS:450,QDL12,String,0,A,165,A,0.2564,kG,52.0972,kG
QUAD,QSP8H,2981.1775,QUAD:SPH:760,QSP6H,String,0,A,165,A,-52.0323,kG,-0.2399,kG
QUAD,QSP4H,2886.542479,QUAD:SPH:450,QSP4H,String Main,0,A,165,A,-52.0751,kG,-0.2587,kG
QUAD,QCUS3,3116.708379,QUAD:CLTS:470,QCUS3,String Main,0,A,165,A,-51.5787,kG,-0.113,kG
QUAD,QHD04,31.75297,QUAD:HTR:980,,Individual,0,A,45,A,0.0757,kG,6.7547,kG
QUAD,QBP31,3110.121703,QUAD:SLTS:430,,Individual,0,A,190,A,0.103,kG,28.3416,kG
QUAD,QBP34,3197.129745,QUAD:BSYS:865,,Individual,0,A,190,A,0.0988,kG,28.4959,kG
QUAD,QL5P,848.131303,QUAD:DOG:405,,Individual,0,A,190,A,0.0998,kG,28.4158,kG
QUAD,QDMP1B,3751.779635,QUAD:DMPS:500,QDMP1B,String Main,0,A,150,A,-38.58,kG,-0.0817,kG
QUAD,CQ01B,-9.798137,QUAD:GUNB:212:1,,Individual,-2,A,2,A,-0.0055,kG,0.0056,kG
QUAD,QCM03,102.38726,QUAD:L1B:0385,,Individual,-20,A,20,A,-12.21000028,kG,12.21000028,kG
QUAD,QCM05,203.504672,QUAD:L2B:0585,,Individual,-20,A,20,A,-12.21000028,kG,12.21000028,kG
QUAD,QCM15,325.708572,QUAD:L2B:1585,,Individual,-20,A,20,A,-12.21000028,kG,12.21000028,kG
QUAD,QCM16,402.43053,QUAD:L3B:1685,,Individual,-20,A,20,A,-12.21000028,kG,12.21000028,kG
QUAD,QCM19,439.0917,QUAD:L3B:1985,,Individual,-20,A,20,A,-12.21000028,kG,12.21000028,kG
QUAD,QCM33,612.72647,QUAD:L3B:3385,,Individual,-20,A,20,A,-12.21000028,kG,12.21000028,kG
YCOR,YC01B,-9.560167,YCOR:GUNB:293,,Individual,-3,A,3,A,-0.0052,kG-m,0.0051,kG-m
YCOR,YCDG010,48.811515,YCOR:DIAG0:460,,Individual,-6,A,6,A,-0.0049,kG-m,0.0049,kG-m
XCOR,XC0H03,13.189182,XCOR:HTR:288,,Individual,-2,A,2,A,-0.0048,kG-m,0.0048,kG-m
XCOR,XC0H05,16.014118,XCOR:HTR:396,,Individual,-2,A,2,A,-0.0048,kG-m,0.0048,kG-m
XCOR,XCDG001,35.83103,XCOR:DIAG0:178,,Individual,-5,A,5,A,-0.0122,kG-m,0.0122,kG-m
YCOR,YCDG002,38.763927,YCOR:DIAG0:247,,Individual,-5,A,5,A,-0.0122,kG-m,0.0122,kG-m
YCOR,YCC003,39.73877,YCOR:COL0:289,,Individual,-2,A,2,A,-0.0048,kG-m,0.0048,kG-m
YCOR,YCC009,62.70124,YCOR:COL0:729,,Individual,-2,A,2,A,-0.0048,kG-m,0.0048,kG-m
XCOR,XCC110,166.885202,XCOR:COL1:808,,Individual,-2,A,2,A,-0.0048,kG-m,0.0048,kG-m
XCOR,XCM02,90.16687,XCOR:L1B:0285,,Individual,-20,A,20,A,-0.054,kG-m,0.054,kG-m
XCOR,XCM14,313.488182,XCOR:L2B:1485,,Individual,-20,A,20,A,-0.054,kG-m,0.054,kG-m
XCOR,XCM24,500.19365,XCOR:L3B:2485,,Individual,-20,A,20,A,-0.054,kG-m,0.054,kG-m
YCOR,YCM18,426.87131,YCOR:L3B:1885,,Individual,-20,A,20,A,-0.0536,kG-m,0.0536,kG-m
YCOR,YCM22,475.75287,YCOR:L3B:2285,,Individual,-20,A,20,A,-0.0536,kG-m,0.0536,kG-m
YCOR,YCM27,539.40413,YCOR:L3B:2785,,Individual,-20,A,20,A,-0.0536,kG-m,0.0536,kG-m
YCOR,YCM33,612.72647,YCOR:L3B:3385,,Individual,-20,A,20,A,-0.0536,kG-m,0.0536,kG-m
SEPT,BLXSPS,2890.552003,BEND:SPS:470,BXSP2S,String,0,A,130,A,0.0919,GeV/c,12.8688,GeV/c
BEND,BCXXL1,3507.444452,BEND:LTUS:763,BCXXL2,String,-17.5,A,17.5,A,-2.8011,kG-m,2.7687,kG-m
QUAD,QHXH15,3574.675758,QUAD:UNDH:1580,,Individual,-6.0019386,A,6.0055964,A,-42.203121,kG,42.226983,kG
QUAD,QHXH23,3606.776741,QUAD:UNDH:2380,,Individual,-6.0016153,A,6.0047147,A,-41.732089,kG,41.877708,kG
QUAD,QSXH36,3655.61405,QUAD:UNDS:3680,,Individual,-6.0052961,A,6.0037753,A,-43.392473,kG,43.384881,kG
QUAD,QSXH29,3624.814386,QUAD:UNDS:2980,,Individual,-6.0030849,A,6.0017794,A,-43.248512,kG,43.404024,kG
